Class,MTH,RFC,FLD,INT,BCM,NML,WRD,DCM,SZ,CPX,EX,RET,buggy
GraphColoring,3,25,4,1,6,8.88,0,48.0,34,5,0,15,0
CharRanges,18,30,3,0,6,5.856,0,3.333333333333333,214,54,0,47,0
RegExpTree,16,433,35,0,25,7.690773067331671,0,4.181818181818182,805,174,0,270,0
CaseCanonicalize,4,209,6,0,9,9.091127098321342,0,47.8,38,11,0,13,0
TestErrorReporter,5,4,4,1,4,11.5,0,0.0,15,2,0,8,0
SimpleSourceExcerptProvider,2,3,1,1,2,11.714285714285714,0,0.0,3,0,0,4,0
Protocol,2,15,12,0,16,11.84070796460177,0,39.125,35,2,0,38,0
AbstractWebServiceException,3,4,0,0,2,10.5,0,0.0,1,0,0,4,0
ClosureReverseAbstractInterpreter,2,56,7,0,8,12.421052631578949,0,34.25,57,10,0,47,1
SemanticReverseAbstractInterpreter,11,148,7,0,13,13.796536796536795,0,29.727272727272727,219,50,0,93,1
ChainableReverseAbstractInterpreter,11,112,8,2,23,12.644736842105264,0,54.66666666666666,170,25,0,166,1
JsFileParser,5,29,8,0,12,7.134615384615385,0,31.2,36,7,2,11,0
DepsGenerator,19,120,12,0,14,9.46448087431694,0,15.0,113,28,5,31,0
JsFileLineParser,6,47,11,0,23,6.843373493975903,0,43.333333333333336,77,17,3,11,0
JsFunctionParser,4,23,7,0,10,7.425,0,49.0,31,5,1,8,0
PathUtil,6,44,2,0,8,7.814285714285714,0,30.866666666666667,46,13,0,17,0
SimpleDependencyInfo,6,7,4,1,7,9.882352941176473,0,0.0,13,1,0,13,0
DepsFileParser,4,29,5,0,12,8.981132075471699,0,34.44444444444444,24,4,2,8,0
SortedDependencies,11,91,4,0,8,7.6,0,15.842105263157896,93,26,1,26,0
JsDocInfoParser,58,775,20,0,55,9.762803234501348,0,11.116504854368932,1107,238,0,181,1
ParserRunner,7,36,6,0,3,11.27777777777778,0,41.333333333333336,44,4,1,14,0
JsDocTokenStream,20,55,19,0,8,7.932330827067669,0,9.25,240,46,0,66,0
TypeSafeDispatcher,44,56,0,0,2,16.669565217391305,0,0.0,67,9,0,86,0
IRFactory,29,540,19,0,9,10.673441734417343,0,11.22222222222222,533,87,0,253,1
Config,1,6,6,0,10,7.818181818181818,0,0.0,13,2,0,2,0
NullErrorReporter,4,0,0,2,2,11.153846153846152,0,0.0,5,0,0,10,0
